T,U,p,t,x
300.0,0.0,10000000.0,0.0,-0.255
300.0,0.0,10000000.0,0.0,-0.265
300.0,0.0,10000000.0,0.0,-0.275
300.0,0.0,10000000.0,0.0,-0.285
300.0,0.0,10000000.0,0.0,-0.295
300.0,0.0,10000000.0,0.0,-0.305
300.0,0.0,10000000.0,0.0,-0.315
300.0,0.0,10000000.0,0.0,-0.325
300.0,0.0,10000000.0,0.0,-0.335
300.0,0.0,10000000.0,0.0,-0.345
300.0,0.0,10000000.0,0.0,-0.355
300.0,0.0,10000000.0,0.0,-0.365
300.0,0.0,10000000.0,0.0,-0.375
300.0,0.0,10000000.0,0.0,-0.385
300.0,0.0,10000000.0,0.0,-0.395
300.0,0.0,10000000.0,0.0,-0.405
300.0,0.0,10000000.0,0.0,-0.415
300.0,0.0,10000000.0,0.0,-0.425
300.0,0.0,10000000.0,0.0,-0.435
300.0,0.0,10000000.0,0.0,-0.445
300.0,0.0,10000000.0,0.0,-0.455
300.0,0.0,10000000.0,0.0,-0.465
300.0,0.0,10000000.0,0.0,-0.475
300.0,0.0,10000000.0,0.0,-0.485
300.0,0.0,10000000.0,0.0,-0.495
300.0,0.0,10000000.0,0.0,-0.505
300.0,0.0,10000000.0,0.0,-0.515
300.0,0.0,10000000.0,0.0,-0.525
300.0,0.0,10000000.0,0.0,-0.535
300.0,0.0,10000000.0,0.0,-0.545
300.0,0.0,10000000.0,0.0,-0.555
300.0,0.0,10000000.0,0.0,-0.565
300.0,0.0,10000000.0,0.0,-0.575
300.0,0.0,10000000.0,0.0,-0.585
300.0,0.0,10000000.0,0.0,-0.595
300.0,0.0,10000000.0,0.0,-0.605
300.0,0.0,10000000.0,0.0,-0.615
300.0,0.0,10000000.0,0.0,-0.625
300.0,0.0,10000000.0,0.0,-0.635
300.0,0.0,10000000.0,0.0,-0.645
300.0,0.0,10000000.0,0.0,-0.655
300.0,0.0,10000000.0,0.0,-0.665
300.0,0.0,10000000.0,0.0,-0.675
300.0,0.0,10000000.0,0.0,-0.685
300.0,0.0,10000000.0,0.0,-0.695
300.0,0.0,10000000.0,0.0,-0.705
300.0,0.0,10000000.0,0.0,-0.715
300.0,0.0,10000000.0,0.0,-0.725
300.0,0.0,10000000.0,0.0,-0.735
300.0,0.0,10000000.0,0.0,-0.745
300.0,0.0,10000000.0,0.0,-0.755
300.0,0.0,10000000.0,0.0,-0.765
300.0,0.0,10000000.0,0.0,-0.775
300.0,0.0,10000000.0,0.0,-0.785
300.0,0.0,10000000.0,0.0,-0.795
300.0,0.0,10000000.0,0.0,-0.805
300.0,0.0,10000000.0,0.0,-0.815
300.0,0.0,10000000.0,0.0,-0.825
300.0,0.0,10000000.0,0.0,-0.835
300.0,0.0,10000000.0,0.0,-0.845
300.0,0.0,10000000.0,0.0,-0.855
300.0,0.0,10000000.0,0.0,-0.865
300.0,0.0,10000000.0,0.0,-0.875
300.0,0.0,10000000.0,0.0,-0.885
300.0,0.0,10000000.0,0.0,-0.895
300.0,0.0,10000000.0,0.0,-0.905
300.0,0.0,10000000.0,0.0,-0.915
300.0,0.0,10000000.0,0.0,-0.925
300.0,0.0,10000000.0,0.0,-0.935
300.0,0.0,10000000.0,0.0,-0.945
300.0,0.0,10000000.0,0.0,-0.955
300.0,0.0,10000000.0,0.0,-0.965
300.0,0.0,10000000.0,0.0,-0.975
300.0,0.0,10000000.0,0.0,-0.985
300.0,0.0,10000000.0,0.0,-0.995
300.0,5.30525e-13,5000000.0,0.0002,0.995
300.0,6.4307e-14,5000000.0,0.0002,0.985
300.0,6.99327e-13,5000000.0,0.0002,0.975
300.0,2.17036e-13,5000000.0,0.0002,0.965
300.0,1.00477e-12,5000000.0,0.0002,0.955
300.0,3.21548e-14,5000000.0,0.0002,0.945
300.0,2.41212e-14,5000000.0,0.0002,0.935
300.0,5.1444e-13,5000000.0,0.0002,0.925
300.0,2.57222e-13,5000000.0,0.0002,0.915
300.0,1.02889e-12,5000000.0,0.0002,0.905
300.0,1.84878e-13,5000000.0,0.0002,0.895
300.0,6.43058e-13,5000000.0,0.0002,0.885
300.0,1.053e-12,5000000.0,0.0002,0.875
300.0,1.84876e-13,5000000.0,0.0002,0.865
300.0,3.29567e-13,5000000.0,0.0002,0.855
300.0,3.29562e-13,5000000.0,0.0002,0.845
300.0,2.57225e-13,5000000.0,0.0002,0.835
300.0,1.52727e-13,5000000.0,0.0002,0.825
300.0,5.78754e-13,5000000.0,0.0002,0.815
300.0,8.03816e-13,5000000.0,0.0002,0.805
300.0,5.54633e-13,5000000.0,0.0002,0.795
300.0,6.26976e-13,5000000.0,0.0002,0.785
300.0,6.43054e-13,5000000.0,0.0002,0.775
300.0,1.92918e-13,5000000.0,0.0002,0.765
300.0,7.87741e-13,5000000.0,0.0002,0.755
300.0,4.34059e-13,5000000.0,0.0002,0.745
300.0,5.22485e-13,5000000.0,0.0002,0.735
300.0,2.00957e-13,5000000.0,0.0002,0.725
300.0,4.82301e-14,5000000.0,0.0002,0.715
300.0,2.17033e-13,5000000.0,0.0002,0.705
300.0,3.21563e-14,5000000.0,0.0002,0.695
300.0,5.94829e-13,5000000.0,0.0002,0.685
300.0,2.65261e-13,5000000.0,0.0002,0.675
300.0,1.28611e-13,5000000.0,0.0002,0.665
300.0,4.58181e-13,5000000.0,0.0002,0.655
300.0,6.02865e-13,5000000.0,0.0002,0.645
300.0,6.67171e-13,5000000.0,0.0002,0.635
300.0,8.27935e-13,5000000.0,0.0002,0.625
300.0,1.20577e-13,5000000.0,0.0002,0.615
300.0,2.00957e-13,5000000.0,0.0002,0.605
300.0,5.78745e-13,5000000.0,0.0002,0.595
300.0,8.92239e-13,5000000.0,0.0002,0.585
300.0,7.87745e-13,5000000.0,0.0002,0.575
300.0,7.15401e-13,5000000.0,0.0002,0.565
300.0,6.43054e-13,5000000.0,0.0002,0.555
300.0,2.41141e-13,5000000.0,0.0002,0.545
300.0,4.74251e-13,5000000.0,0.0002,0.535
